location_id,location_name,tract_id
44173,King County Census Tract 238.03,238.03
44174,King County Census Tract 238.04,238.04
44175,King County Census Tract 239,239
44176,King County Census Tract 240,240
44177,King County Census Tract 241,241
44178,King County Census Tract 242,242
44179,King County Census Tract 243,243
44180,King County Census Tract 244,244
44181,King County Census Tract 245,245
44183,King County Census Tract 246.01,246.01
44184,King County Census Tract 246.02,246.02
44185,King County Census Tract 247.01,247.01
44186,King County Census Tract 247.02,247.02
44188,King County Census Tract 248,248
44189,King County Census Tract 249.01,249.01
44190,King County Census Tract 249.02,249.02
44191,King County Census Tract 249.03,249.03
44192,King County Census Tract 250.01,250.01
44194,King County Census Tract 250.03,250.03
44196,King County Census Tract 250.05,250.05
44197,King County Census Tract 250.06,250.06
44200,King County Census Tract 251.01,251.01
44201,King County Census Tract 251.02,251.02
44202,King County Census Tract 252,252
44204,King County Census Tract 253.01,253.01
44205,King County Census Tract 253.02,253.02
44206,King County Census Tract 254,254
44207,King County Census Tract 255,255
44209,King County Census Tract 256.01,256.01
44210,King County Census Tract 256.02,256.02
44212,King County Census Tract 257.01,257.01
44213,King County Census Tract 257.02,257.02
44216,King County Census Tract 258.03,258.03
44217,King County Census Tract 258.04,258.04
44218,King County Census Tract 258.05,258.05
44219,King County Census Tract 258.06,258.06
44221,King County Census Tract 260.01,260.01
44222,King County Census Tract 260.02,260.02
44223,King County Census Tract 261,261
44224,King County Census Tract 262,262
44225,King County Census Tract 263,263
44226,King County Census Tract 264,264
44227,King County Census Tract 265,265
44228,King County Census Tract 266,266
44229,King County Census Tract 267,267
44231,King County Census Tract 268.01,268.01
44232,King County Census Tract 268.02,268.02
44234,King County Census Tract 270,270
44235,King County Census Tract 271,271
44236,King County Census Tract 272,272
44237,King County Census Tract 273,273
44238,King County Census Tract 274,274
44239,King County Census Tract 275,275
44240,King County Census Tract 276,276
44241,King County Census Tract 277.01,277.01
44242,King County Census Tract 277.02,277.02
44243,King County Census Tract 278,278
44244,King County Census Tract 279,279
44245,King County Census Tract 280,280
44246,King County Census Tract 281,281
44247,King County Census Tract 282,282
44248,King County Census Tract 283,283
44250,King County Census Tract 284.02,284.02
